dataset,fold-class,n-folds,disc_method,num_bins,acc_mean,prec_mean,rec_mean,f1_mean
diabetes,StratifiedKFold,5,discretize_equal_width,2,0.685390625,0.6534088266857898,0.6527594029850746,0.6529531873646326
diabetes,StratifiedKFold,5,discretize_equal_freq,2,0.7181901041666664,0.6892764555256964,0.6868571641791044,0.6879537819463889
diabetes,StratifiedKFold,5,discretize_k_means,2,0.6510416666666667,0.32552083333333337,0.5,0.39432176656151424
diabetes,StratifiedKFold,5,discretize_equal_width,3,0.7244921875,0.6953306508093107,0.6805386567164178,0.6857272493963416
diabetes,StratifiedKFold,5,discretize_equal_freq,3,0.7408203125000001,0.7143685499853382,0.7104959701492538,0.7122545528122964
diabetes,StratifiedKFold,5,discretize_k_means,3,0.63671875,0.3616403464085583,0.4898656716417909,0.3924033403751541
diabetes,StratifiedKFold,5,discretize_equal_width,5,0.7480468750000001,0.723210004325725,0.7074585074626865,0.7133037892407091
diabetes,StratifiedKFold,5,discretize_equal_freq,5,0.7389843750000001,0.7125703386014175,0.7111116417910448,0.7117982188399857
diabetes,StratifiedKFold,5,discretize_k_means,5,0.6795052083333333,0.6867756118074257,0.5555692537313432,0.5186106357191971
diabetes,StratifiedKFold,5,discretize_equal_width,10,0.7529036458333332,0.7284033578920542,0.7161314925373133,0.72101103580936
diabetes,StratifiedKFold,5,discretize_equal_freq,10,0.7538671874999998,0.7297200303512801,0.733552985074627,0.7314535829485586
diabetes,StratifiedKFold,5,discretize_k_means,10,0.5775390625,0.45792724478363056,0.4743505970149253,0.4476726854894049
glass,StratifiedKFold,5,discretize_equal_width,2,0.4864018691588785,0.2800475726243468,0.3253456486042693,0.2925251527670697
glass,StratifiedKFold,5,discretize_equal_freq,2,0.5602803738317756,0.33100222495265236,0.34546737533488897,0.33141971352836985
glass,StratifiedKFold,5,discretize_k_means,2,0.3271028037383178,0.0545171339563863,0.16666666666666666,0.08215962441314555
glass,StratifiedKFold,5,discretize_equal_width,3,0.5842056074766354,0.3288663298713322,0.3412737447065941,0.3250215173403034
glass,StratifiedKFold,5,discretize_equal_freq,3,0.6151401869158879,0.3276019567423493,0.3769927836833463,0.3489570303290319
glass,StratifiedKFold,5,discretize_k_means,3,0.3271028037383178,0.0545171339563863,0.16666666666666666,0.08215962441314555
glass,StratifiedKFold,5,discretize_equal_width,5,0.49373831775700927,0.41672711440196014,0.3406543248040526,0.34311240191492437
glass,StratifiedKFold,5,discretize_equal_freq,5,0.6355607476635514,0.35005097926477297,0.3872449898693093,0.3635849072595541
glass,StratifiedKFold,5,discretize_k_means,5,0.3271028037383178,0.0545171339563863,0.16666666666666666,0.08215962441314555
glass,StratifiedKFold,5,discretize_equal_width,10,0.5633644859813084,0.47213616330778163,0.36856505155461594,0.36824151898387425
glass,StratifiedKFold,5,discretize_equal_freq,10,0.6744392523364485,0.3664223621295768,0.41430872919847517,0.3853436925219275
glass,StratifiedKFold,5,discretize_k_means,10,0.3232710280373832,0.06950236966824645,0.16468045112781957,0.08261976457705995
wine,StratifiedKFold,5,discretize_equal_width,2,0.8973595505617981,0.8972040132919924,0.8992992394100952,0.8981395983616228
wine,StratifiedKFold,5,discretize_equal_freq,2,0.9512921348314609,0.950098760498287,0.955718399379327,0.9522684560520706
wine,StratifiedKFold,5,discretize_k_means,2,0.33146067415730335,0.11048689138576778,0.3333333333333333,0.1659634317862166
wine,StratifiedKFold,5,discretize_equal_width,3,0.9348314606741576,0.934717870547535,0.9407634081324102,0.9372081518244477
wine,StratifiedKFold,5,discretize_equal_freq,3,0.9367977528089889,0.9370789918680497,0.9407551689610356,0.9385731654689645
wine,StratifiedKFold,5,discretize_k_means,3,0.33146067415730335,0.11048689138576778,0.3333333333333333,0.1659634317862166
wine,StratifiedKFold,5,discretize_equal_width,5,0.9635393258426967,0.9649349772407358,0.9665959788865018,0.9653712493135352
wine,StratifiedKFold,5,discretize_equal_freq,5,0.9722471910112358,0.9720993788388357,0.97578578817538,0.9736660615158326
wine,StratifiedKFold,5,discretize_k_means,5,0.30898876404494385,0.10597302504816956,0.3107344632768361,0.15804597701149425
wine,StratifiedKFold,5,discretize_equal_width,10,0.9463483146067415,0.94863519993857,0.9506560170817752,0.9487773406145781
wine,StratifiedKFold,5,discretize_equal_freq,10,0.9682022471910113,0.9672774988085454,0.9724627993952417,0.9693927015502671
wine,StratifiedKFold,5,discretize_k_means,10,0.2799999999999999,0.19599009103876475,0.2798249383305483,0.16679482460756717
